datetime,open,high,low,close,adj close,volume
2011-07-16T21:00:00.000000000Z,79.130,79.155,78.975,79.111,79.111,917
2011-07-17T21:00:00.000000000Z,79.108,79.180,78.954,79.040,79.040,8706
2011-07-18T21:00:00.000000000Z,79.043,79.279,78.822,79.180,79.180,11879
2011-07-19T21:00:00.000000000Z,79.185,79.318,78.710,78.778,78.778,11104
2011-07-20T21:00:00.000000000Z,78.781,79.030,78.289,78.303,78.303,17016
2011-07-21T21:00:00.000000000Z,78.306,78.730,78.226,78.538,78.538,12522
2011-07-22T21:00:00.000000000Z,78.538,78.538,78.538,78.538,78.538,12
2011-07-23T21:00:00.000000000Z,78.538,78.538,78.127,78.324,78.324,1152
2011-07-24T21:00:00.000000000Z,78.327,78.558,78.059,78.290,78.290,14349
2011-07-25T21:00:00.000000000Z,78.293,78.699,77.832,77.883,77.883,16335
2011-07-26T21:00:00.000000000Z,77.887,78.170,77.578,77.980,77.980,12394
2011-07-27T21:00:00.000000000Z,77.978,78.026,77.633,77.674,77.674,11741
2011-07-28T21:00:00.000000000Z,77.681,77.866,76.730,76.765,76.765,17111
2011-07-29T21:00:00.000000000Z,76.765,76.765,76.765,76.765,76.765,12
2011-07-30T21:00:00.000000000Z,76.765,77.410,76.765,77.168,77.168,1574
2011-07-31T21:00:00.000000000Z,77.165,78.049,76.294,77.212,77.212,32500
2011-08-01T21:00:00.000000000Z,77.208,77.830,76.966,77.153,77.153,21621
2011-08-02T21:00:00.000000000Z,77.151,77.405,76.784,77.062,77.062,18608
2011-08-03T21:00:00.000000000Z,77.066,80.240,76.972,78.886,78.886,52009
2011-08-04T21:00:00.000000000Z,78.882,79.377,78.319,78.403,78.403,36573
2011-08-05T21:00:00.000000000Z,78.403,78.403,78.371,78.371,78.371,13
2011-08-06T21:00:00.000000000Z,78.371,78.401,77.594,77.984,77.984,3290
2011-08-07T21:00:00.000000000Z,77.977,78.471,77.506,77.760,77.760,28802
2011-08-08T21:00:00.000000000Z,77.758,77.861,76.708,76.962,76.962,40402
2011-08-09T21:00:00.000000000Z,76.965,77.308,76.350,76.860,76.860,26661
2011-08-10T21:00:00.000000000Z,76.857,77.236,76.310,76.839,76.839,32699
2011-08-11T21:00:00.000000000Z,76.835,77.019,76.517,76.699,76.699,14495
2011-08-12T21:00:00.000000000Z,76.699,76.699,76.699,76.699,76.699,12
2011-08-13T21:00:00.000000000Z,76.699,76.899,76.699,76.846,76.846,535
2011-08-14T21:00:00.000000000Z,76.849,77.098,76.594,76.838,76.838,12375
2011-08-15T21:00:00.000000000Z,76.835,76.930,76.656,76.802,76.802,11247
2011-08-16T21:00:00.000000000Z,76.804,76.841,76.412,76.603,76.603,10763
2011-08-17T21:00:00.000000000Z,76.606,76.712,76.451,76.580,76.580,10994
2011-08-18T21:00:00.000000000Z,76.584,76.972,75.948,76.550,76.550,18539
2011-08-19T21:00:00.000000000Z,76.550,76.550,76.550,76.550,76.550,12
2011-08-20T21:00:00.000000000Z,76.550,76.778,76.445,76.768,76.768,973
2011-08-21T21:00:00.000000000Z,76.766,77.214,76.558,76.794,76.794,13430
2011-08-22T21:00:00.000000000Z,76.798,76.935,76.475,76.660,76.660,11918
2011-08-23T21:00:00.000000000Z,76.662,77.074,76.481,76.976,76.976,12458
2011-08-24T21:00:00.000000000Z,76.980,77.696,76.844,77.463,77.463,14804
2011-08-25T21:00:00.000000000Z,77.460,77.522,76.504,76.695,76.695,14696
2011-08-26T21:00:00.000000000Z,76.695,76.695,76.695,76.695,76.695,12
2011-08-27T21:00:00.000000000Z,76.695,76.907,76.626,76.755,76.755,609
2011-08-28T21:00:00.000000000Z,76.752,77.016,76.578,76.835,76.835,10228
