datetime,open,high,low,close,adj close,volume
2011-05-06T21:00:00.000000000Z,1.25859,1.25859,1.25859,1.25859,1.25859,6
2011-05-07T21:00:00.000000000Z,1.25859,1.25859,1.25859,1.25859,1.25859,6
2011-05-08T21:00:00.000000000Z,1.26189,1.26262,1.25806,1.26084,1.26084,23397
2011-05-09T21:00:00.000000000Z,1.25227,1.26334,1.24884,1.25944,1.25944,27136
2011-05-10T21:00:00.000000000Z,1.26758,1.27016,1.26486,1.26643,1.26643,16031
2011-05-11T21:00:00.000000000Z,1.25986,1.26162,1.25752,1.25898,1.25898,16585
2011-05-12T21:00:00.000000000Z,1.25929,1.26432,1.25778,1.26374,1.26374,18352
2011-05-13T21:00:00.000000000Z,1.26054,1.26054,1.26054,1.26054,1.26054,6
2011-05-14T21:00:00.000000000Z,1.26054,1.26054,1.26054,1.26054,1.26054,6
2011-05-15T21:00:00.000000000Z,1.25828,1.26145,1.25340,1.25646,1.25646,14781
2011-05-16T21:00:00.000000000Z,1.25189,1.25745,1.25156,1.25621,1.25621,15185
2011-05-17T21:00:00.000000000Z,1.25340,1.25792,1.25306,1.25526,1.25526,18203
2011-05-18T21:00:00.000000000Z,1.25492,1.25811,1.25337,1.25558,1.25558,17247
2011-05-19T21:00:00.000000000Z,1.26012,1.26462,1.25829,1.25862,1.25862,13845
2011-05-20T21:00:00.000000000Z,1.24266,1.24266,1.24266,1.24266,1.24266,6
2011-05-21T21:00:00.000000000Z,1.24266,1.24266,1.24266,1.24266,1.24266,6
2011-05-22T21:00:00.000000000Z,1.24241,1.24273,1.23472,1.23486,1.23486,24573
2011-05-23T21:00:00.000000000Z,1.24142,1.24686,1.24038,1.24284,1.24284,23263
2011-05-24T21:00:00.000000000Z,1.24145,1.24160,1.23260,1.23364,1.23364,19912
2011-05-25T21:00:00.000000000Z,1.22921,1.23598,1.22710,1.23282,1.23282,17272
2011-05-26T21:00:00.000000000Z,1.22409,1.22563,1.21641,1.22014,1.22014,23563
2011-05-27T21:00:00.000000000Z,1.21583,1.21583,1.21583,1.21583,1.21583,6
2011-05-28T21:00:00.000000000Z,1.21583,1.21583,1.21583,1.21583,1.21583,6
2011-05-29T21:00:00.000000000Z,1.21608,1.21840,1.21439,1.21512,1.21512,15735
2011-05-30T21:00:00.000000000Z,1.21722,1.22804,1.21534,1.22690,1.22690,23334
2011-05-31T21:00:00.000000000Z,1.22962,1.23184,1.22177,1.22232,1.22232,17749
2011-06-01T21:00:00.000000000Z,1.20634,1.21746,1.20544,1.21655,1.21655,15725
2011-06-02T21:00:00.000000000Z,1.22098,1.22296,1.21856,1.22032,1.22032,13563
2011-06-03T21:00:00.000000000Z,1.22041,1.22041,1.22041,1.22041,1.22041,6
2011-06-04T21:00:00.000000000Z,1.22041,1.22041,1.22041,1.22041,1.22041,6
2011-06-05T21:00:00.000000000Z,1.22052,1.22544,1.21990,1.22466,1.22466,17993
2011-06-06T21:00:00.000000000Z,1.21689,1.22317,1.21648,1.22263,1.22263,16728
2011-06-07T21:00:00.000000000Z,1.22873,1.22953,1.22457,1.22585,1.22585,17767
2011-06-08T21:00:00.000000000Z,1.21899,1.22576,1.21899,1.22456,1.22456,14299
2011-06-09T21:00:00.000000000Z,1.22074,1.22350,1.21658,1.21868,1.21868,15018
