datetime,open,high,low,close,adj close,volume
2011-05-07T21:00:00.000000000Z,115.417,115.417,115.417,115.417,115.417,6
2011-05-08T21:00:00.000000000Z,115.821,116.479,115.694,116.281,116.281,19155
2011-05-09T21:00:00.000000000Z,115.449,116.232,114.800,115.864,115.864,20089
2011-05-10T21:00:00.000000000Z,116.542,116.899,115.929,116.231,116.231,14173
2011-05-11T21:00:00.000000000Z,115.035,115.628,114.906,115.052,115.052,16271
2011-05-12T21:00:00.000000000Z,115.302,115.542,114.330,115.294,115.294,16439
2011-05-13T21:00:00.000000000Z,114.063,114.063,114.063,114.063,114.063,6
2011-05-14T21:00:00.000000000Z,114.063,114.063,114.063,114.063,114.063,6
2011-05-15T21:00:00.000000000Z,113.961,114.550,113.416,114.318,114.318,17384
2011-05-16T21:00:00.000000000Z,114.363,115.884,114.294,115.855,115.855,16473
2011-05-17T21:00:00.000000000Z,115.911,116.409,115.406,115.630,115.630,17196
2011-05-18T21:00:00.000000000Z,116.366,116.706,116.204,116.480,116.480,14206
2011-05-19T21:00:00.000000000Z,116.786,117.176,116.726,116.726,116.726,11834
2011-05-20T21:00:00.000000000Z,115.699,115.699,115.699,115.699,115.699,6
2011-05-21T21:00:00.000000000Z,115.699,115.699,115.699,115.699,115.699,6
2011-05-22T21:00:00.000000000Z,115.563,115.636,113.888,114.090,114.090,18938
2011-05-23T21:00:00.000000000Z,115.203,115.544,114.730,115.308,115.308,17205
2011-05-24T21:00:00.000000000Z,115.549,115.790,114.730,115.444,115.444,14663
2011-05-25T21:00:00.000000000Z,115.472,116.386,115.380,115.724,115.724,16565
2011-05-26T21:00:00.000000000Z,114.985,115.711,114.688,115.118,115.118,18127
2011-05-27T21:00:00.000000000Z,115.681,115.681,115.681,115.681,115.681,6
2011-05-28T21:00:00.000000000Z,115.681,115.681,115.681,115.681,115.681,6
2011-05-29T21:00:00.000000000Z,115.660,115.696,115.208,115.458,115.458,14305
2011-05-30T21:00:00.000000000Z,115.599,117.802,115.582,117.406,117.406,19937
2011-05-31T21:00:00.000000000Z,117.386,117.710,117.032,117.196,117.196,13936
2011-06-01T21:00:00.000000000Z,116.001,116.730,115.775,116.614,116.614,15417
2011-06-02T21:00:00.000000000Z,117.232,117.381,116.676,116.748,116.748,13912
2011-06-03T21:00:00.000000000Z,117.485,117.485,117.485,117.485,117.485,6
2011-06-04T21:00:00.000000000Z,117.485,117.485,117.485,117.485,117.485,6
2011-06-05T21:00:00.000000000Z,117.235,117.703,117.164,117.300,117.300,12979
2011-06-06T21:00:00.000000000Z,116.758,117.750,116.718,117.722,117.722,14586
2011-06-07T21:00:00.000000000Z,117.662,117.858,116.906,117.056,117.056,15768
2011-06-08T21:00:00.000000000Z,116.515,117.464,116.476,117.020,117.020,13395
2011-06-09T21:00:00.000000000Z,116.609,116.868,115.530,115.928,115.928,15850
2011-06-10T21:00:00.000000000Z,115.240,115.240,115.240,115.240,115.240,7
2011-06-11T21:00:00.000000000Z,115.240,115.240,115.240,115.240,115.240,6
2011-06-12T21:00:00.000000000Z,115.049,115.656,115.018,115.274,115.274,12217
2011-06-13T21:00:00.000000000Z,115.650,116.434,115.270,115.976,115.976,14528
2011-06-14T21:00:00.000000000Z,116.228,116.476,115.582,115.742,115.742,14630
2011-06-15T21:00:00.000000000Z,114.799,114.978,113.640,114.064,114.064,20140
2011-06-16T21:00:00.000000000Z,114.519,114.721,113.730,113.960,113.960,16014
2011-06-17T21:00:00.000000000Z,114.583,114.583,114.583,114.583,114.583,6
2011-06-18T21:00:00.000000000Z,114.583,114.583,114.583,114.583,114.583,7
2011-06-19T21:00:00.000000000Z,114.437,114.545,113.598,114.148,114.148,15784
2011-06-20T21:00:00.000000000Z,114.824,115.352,114.658,115.044,115.044,11783
2011-06-21T21:00:00.000000000Z,115.602,115.814,115.141,115.488,115.488,12937
2011-06-22T21:00:00.000000000Z,115.275,115.421,114.802,114.962,114.962,12849
2011-06-23T21:00:00.000000000Z,114.791,114.904,114.412,114.722,114.722,11865
2011-06-24T21:00:00.000000000Z,114.127,114.127,114.127,114.127,114.127,6
2011-06-25T21:00:00.000000000Z,114.127,114.127,114.127,114.127,114.127,6
2011-06-26T21:00:00.000000000Z,114.016,114.594,113.845,114.556,114.556,13559
2011-06-27T21:00:00.000000000Z,115.572,115.784,115.156,115.374,115.374,11694
2011-06-28T21:00:00.000000000Z,116.586,116.842,116.170,116.640,116.640,9398
2011-06-29T21:00:00.000000000Z,116.605,116.976,116.370,116.438,116.438,12530
2011-06-30T21:00:00.000000000Z,116.843,117.312,116.739,117.260,117.260,11077
2011-07-01T21:00:00.000000000Z,117.409,117.409,117.409,117.409,117.409,6
2011-07-02T21:00:00.000000000Z,117.409,117.409,117.409,117.409,117.409,6
2011-07-03T21:00:00.000000000Z,117.480,117.744,117.035,117.091,117.091,9639
2011-07-04T21:00:00.000000000Z,117.466,117.612,117.176,117.464,117.464,11175
2011-07-05T21:00:00.000000000Z,116.964,117.050,116.180,116.248,116.248,9566
2011-07-06T21:00:00.000000000Z,115.864,116.181,115.574,115.802,115.802,9783
2011-07-07T21:00:00.000000000Z,116.704,116.814,116.364,116.366,116.366,7197
2011-07-08T21:00:00.000000000Z,115.006,115.006,115.006,115.006,115.006,6
2011-07-09T21:00:00.000000000Z,115.006,115.006,115.006,115.006,115.006,6
2011-07-10T21:00:00.000000000Z,114.428,114.773,114.080,114.104,114.104,11409
2011-07-11T21:00:00.000000000Z,112.602,112.952,109.582,110.748,110.748,22680
2011-07-12T21:00:00.000000000Z,110.751,111.648,109.643,111.526,111.526,21994
2011-07-13T21:00:00.000000000Z,111.868,112.943,111.644,112.420,112.420,29889
2011-07-14T21:00:00.000000000Z,111.924,112.346,111.646,112.014,112.014,14040
2011-07-16T21:00:00.000000000Z,112.029,112.029,112.029,112.029,112.029,6
2011-07-17T21:00:00.000000000Z,111.651,111.866,110.656,111.076,111.076,12850
2011-07-18T21:00:00.000000000Z,111.543,112.176,111.174,112.102,112.102,10893
2011-07-19T21:00:00.000000000Z,112.086,112.350,111.668,111.772,111.772,10534
2011-07-20T21:00:00.000000000Z,111.986,112.684,111.930,112.134,112.134,13968
2011-07-21T21:00:00.000000000Z,112.946,113.564,112.898,113.122,113.122,11786
2011-07-22T21:00:00.000000000Z,112.782,112.782,112.782,112.782,112.782,6
2011-07-23T21:00:00.000000000Z,112.782,112.782,112.782,112.782,112.782,6
2011-07-24T21:00:00.000000000Z,112.691,113.022,112.118,112.329,112.329,15936
2011-07-25T21:00:00.000000000Z,112.552,113.552,112.262,113.101,113.101,17199
2011-07-26T21:00:00.000000000Z,113.033,113.225,112.285,112.498,112.498,11410
2011-07-27T21:00:00.000000000Z,112.050,112.104,111.453,111.709,111.709,11330
2011-07-28T21:00:00.000000000Z,111.340,111.564,110.594,110.781,110.781,16572
2011-07-29T21:00:00.000000000Z,110.511,110.511,110.511,110.511,110.511,6
2011-07-30T21:00:00.000000000Z,110.511,110.511,110.511,110.511,110.511,6
2011-07-31T21:00:00.000000000Z,110.976,112.252,110.710,111.488,111.488,20928
2011-08-01T21:00:00.000000000Z,110.041,111.024,109.298,109.899,109.899,20441
2011-08-02T21:00:00.000000000Z,109.581,110.457,109.064,110.099,110.099,19403
2011-08-03T21:00:00.000000000Z,110.366,113.996,110.255,113.309,113.309,33204
2011-08-04T21:00:00.000000000Z,111.180,111.987,110.354,111.050,111.050,33940
2011-08-05T21:00:00.000000000Z,112.073,112.222,112.073,112.222,112.222,10
2011-08-06T21:00:00.000000000Z,112.122,112.122,112.122,112.122,112.122,6
2011-08-07T21:00:00.000000000Z,112.432,112.682,111.404,111.580,111.580,31019
2011-08-08T21:00:00.000000000Z,110.244,110.656,109.096,109.950,109.950,41687
2011-08-09T21:00:00.000000000Z,110.632,111.252,109.773,110.096,110.096,23589
2011-08-10T21:00:00.000000000Z,108.976,109.904,108.268,109.093,109.093,34233
2011-08-11T21:00:00.000000000Z,109.430,109.509,108.528,109.119,109.119,16735
2011-08-12T21:00:00.000000000Z,109.293,109.293,109.293,109.293,109.293,6
2011-08-13T21:00:00.000000000Z,109.293,109.293,109.293,109.293,109.293,6
2011-08-14T21:00:00.000000000Z,109.668,110.265,109.508,110.068,110.068,12653
2011-08-15T21:00:00.000000000Z,110.968,111.052,110.368,110.426,110.426,12017
2011-08-16T21:00:00.000000000Z,110.652,110.673,109.800,110.342,110.342,11175
2011-08-17T21:00:00.000000000Z,110.512,110.720,110.187,110.451,110.451,12284
2011-08-18T21:00:00.000000000Z,109.753,110.176,109.024,109.380,109.380,19260
2011-08-19T21:00:00.000000000Z,110.204,110.204,110.204,110.204,110.204,6
2011-08-20T21:00:00.000000000Z,110.204,110.204,110.204,110.204,110.204,6
2011-08-21T21:00:00.000000000Z,110.397,110.930,110.024,110.573,110.573,15996
2011-08-22T21:00:00.000000000Z,110.265,111.062,110.260,110.928,110.928,9680
2011-08-23T21:00:00.000000000Z,110.715,110.870,110.152,110.512,110.512,13602
2011-08-24T21:00:00.000000000Z,110.957,111.622,110.608,111.348,111.348,10975
2011-08-25T21:00:00.000000000Z,111.374,111.590,110.978,111.114,111.114,11101
2011-08-26T21:00:00.000000000Z,111.160,111.160,111.160,111.160,111.160,6
2011-08-27T21:00:00.000000000Z,111.160,111.160,111.160,111.160,111.160,6
2011-08-28T21:00:00.000000000Z,111.287,111.590,111.016,111.226,111.226,11902
2011-08-29T21:00:00.000000000Z,111.496,111.803,110.666,110.724,110.724,11242
2011-08-30T21:00:00.000000000Z,110.826,110.887,110.428,110.684,110.684,8034
2011-08-31T21:00:00.000000000Z,110.167,110.974,109.848,109.975,109.975,14249
2011-09-01T21:00:00.000000000Z,109.694,109.888,109.138,109.364,109.364,10721
2011-09-02T21:00:00.000000000Z,109.100,109.100,109.100,109.100,109.100,4
2011-09-03T21:00:00.000000000Z,109.100,109.100,109.100,109.100,109.100,6
2011-09-04T21:00:00.000000000Z,108.921,109.014,108.406,108.593,108.593,10937
2011-09-05T21:00:00.000000000Z,108.403,109.958,107.842,109.744,109.744,19440
2011-09-06T21:00:00.000000000Z,108.711,109.092,108.306,108.720,108.720,15335
2011-09-07T21:00:00.000000000Z,108.898,109.032,108.712,108.840,108.840,9300
2011-09-08T21:00:00.000000000Z,107.585,108.002,107.382,107.456,107.456,12154
2011-09-09T21:00:00.000000000Z,105.939,105.939,105.939,105.939,105.939,6
2011-09-10T21:00:00.000000000Z,105.939,105.939,105.939,105.939,105.939,6
2011-09-11T21:00:00.000000000Z,105.256,105.590,103.895,104.488,104.488,20610
2011-09-12T21:00:00.000000000Z,105.623,105.649,104.408,104.836,104.836,13778
2011-09-13T21:00:00.000000000Z,105.263,105.416,104.556,105.034,105.034,14103
2011-09-14T21:00:00.000000000Z,105.396,105.724,105.096,105.644,105.644,10771
2011-09-15T21:00:00.000000000Z,106.436,106.587,105.730,105.820,105.820,10004
2011-09-16T21:00:00.000000000Z,105.986,105.986,105.986,105.986,105.986,2
2011-09-17T21:00:00.000000000Z,105.986,105.986,105.986,105.986,105.986,6
2011-09-18T21:00:00.000000000Z,105.375,105.540,104.902,104.948,104.948,10046
2011-09-19T21:00:00.000000000Z,104.817,104.890,103.988,104.597,104.597,15475
2011-09-20T21:00:00.000000000Z,104.742,105.209,104.163,104.458,104.458,14789
2011-09-21T21:00:00.000000000Z,103.766,104.374,103.140,103.225,103.225,18727
2011-09-22T21:00:00.000000000Z,102.633,103.459,102.624,103.261,103.261,16447
2011-09-23T21:00:00.000000000Z,103.423,103.423,103.423,103.423,103.423,1
2011-09-24T21:00:00.000000000Z,103.423,103.423,103.423,103.423,103.423,6
2011-09-25T21:00:00.000000000Z,103.419,103.777,101.939,102.953,102.953,20928
2011-09-26T21:00:00.000000000Z,103.329,103.634,102.850,103.124,103.124,13162
2011-09-27T21:00:00.000000000Z,104.339,104.439,103.690,104.085,104.085,12845
2011-09-28T21:00:00.000000000Z,103.748,104.694,103.314,104.364,104.364,12590
2011-09-29T21:00:00.000000000Z,104.476,104.484,103.398,104.080,104.080,12286
2011-09-30T21:00:00.000000000Z,103.125,103.125,103.125,103.125,103.125,6
2011-10-01T21:00:00.000000000Z,103.125,103.125,103.125,103.125,103.125,6
2011-10-02T21:00:00.000000000Z,102.900,103.237,102.236,102.426,102.426,17896
2011-10-03T21:00:00.000000000Z,100.968,101.418,100.766,101.094,101.094,13777
2011-10-04T21:00:00.000000000Z,102.534,102.707,101.620,102.184,102.184,15849
2011-10-05T21:00:00.000000000Z,102.504,102.730,102.134,102.577,102.577,11988
2011-10-06T21:00:00.000000000Z,103.085,103.151,102.791,102.965,102.965,9714
2011-10-07T21:00:00.000000000Z,102.640,102.640,102.640,102.640,102.640,6
2011-10-08T21:00:00.000000000Z,102.640,102.640,102.640,102.640,102.640,6
2011-10-09T21:00:00.000000000Z,102.854,104.012,102.743,103.924,103.924,10893
2011-10-10T21:00:00.000000000Z,104.589,104.848,104.234,104.292,104.292,10781
2011-10-11T21:00:00.000000000Z,104.546,105.304,104.202,105.272,105.272,9988
2011-10-12T21:00:00.000000000Z,106.550,106.574,105.486,105.584,105.584,14430
2011-10-13T21:00:00.000000000Z,105.948,106.336,105.598,106.134,106.134,13078
2011-10-14T21:00:00.000000000Z,107.173,107.173,107.173,107.173,107.173,7
2011-10-15T21:00:00.000000000Z,107.173,107.173,107.173,107.173,107.173,6
2011-10-16T21:00:00.000000000Z,106.897,107.682,106.744,107.536,107.536,11972
2011-10-17T21:00:00.000000000Z,105.542,105.938,105.026,105.154,105.154,10776
2011-10-18T21:00:00.000000000Z,105.646,106.232,105.328,106.152,106.152,11707
2011-10-19T21:00:00.000000000Z,105.682,105.892,104.890,105.368,105.368,10622
