datetime,open,high,low,close,adj close,volume
2011-05-08T21:00:00.000000000Z,86.418,87.002,86.256,86.880,86.880,24737
2011-05-09T21:00:00.000000000Z,86.848,87.236,86.246,87.072,87.072,25003
2011-05-10T21:00:00.000000000Z,87.651,88.010,87.539,87.684,87.684,21949
2011-05-11T21:00:00.000000000Z,86.732,86.930,85.710,85.920,85.920,27416
2011-05-12T21:00:00.000000000Z,86.422,86.495,85.588,86.130,86.130,22773
2011-05-13T21:00:00.000000000Z,85.428,85.428,85.428,85.428,85.428,6
2011-05-14T21:00:00.000000000Z,85.428,85.428,85.428,85.428,85.428,6
2011-05-15T21:00:00.000000000Z,85.554,85.774,85.016,85.390,85.390,23965
2011-05-16T21:00:00.000000000Z,85.267,86.582,85.247,86.416,86.416,25070
2011-05-17T21:00:00.000000000Z,86.517,86.716,85.984,86.030,86.030,25032
2011-05-18T21:00:00.000000000Z,86.809,87.214,86.742,87.112,87.112,20734
2011-05-19T21:00:00.000000000Z,87.077,87.320,86.843,87.162,87.162,15082
2011-05-20T21:00:00.000000000Z,87.111,87.111,87.111,87.111,87.111,6
2011-05-21T21:00:00.000000000Z,87.111,87.111,87.111,87.111,87.111,6
2011-05-22T21:00:00.000000000Z,87.055,87.153,85.714,85.930,85.930,26292
2011-05-23T21:00:00.000000000Z,86.149,86.660,85.880,86.494,86.494,23040
2011-05-24T21:00:00.000000000Z,86.536,86.738,85.470,86.086,86.086,25402
2011-05-25T21:00:00.000000000Z,86.339,86.948,86.212,86.514,86.514,20948
2011-05-26T21:00:00.000000000Z,86.525,86.808,86.152,86.348,86.348,24235
2011-05-27T21:00:00.000000000Z,86.505,86.505,86.505,86.505,86.505,6
2011-05-28T21:00:00.000000000Z,86.505,86.505,86.505,86.505,86.505,6
2011-05-29T21:00:00.000000000Z,86.618,86.679,86.274,86.416,86.416,17409
2011-05-30T21:00:00.000000000Z,86.529,87.436,86.502,87.111,87.111,27535
2011-05-31T21:00:00.000000000Z,87.003,87.612,86.760,87.198,87.198,19773
2011-06-01T21:00:00.000000000Z,85.912,86.643,85.689,86.122,86.122,22915
2011-06-02T21:00:00.000000000Z,86.308,86.600,85.920,85.968,85.968,17174
2011-06-03T21:00:00.000000000Z,86.027,86.027,86.027,86.027,86.027,6
2011-06-04T21:00:00.000000000Z,86.027,86.027,86.027,86.027,86.027,6
2011-06-05T21:00:00.000000000Z,85.991,86.456,85.924,86.044,86.044,18525
2011-06-06T21:00:00.000000000Z,85.809,86.302,85.677,85.844,85.844,18125
2011-06-07T21:00:00.000000000Z,85.865,86.014,84.770,84.918,84.918,23602
2011-06-08T21:00:00.000000000Z,84.875,85.426,84.586,84.598,84.598,21790
2011-06-09T21:00:00.000000000Z,85.395,85.536,84.674,85.106,85.106,19603
2011-06-10T21:00:00.000000000Z,84.639,84.639,84.639,84.639,84.639,7
2011-06-11T21:00:00.000000000Z,84.639,84.639,84.639,84.639,84.639,6
2011-06-12T21:00:00.000000000Z,84.582,85.106,84.517,84.838,84.838,17308
2011-06-13T21:00:00.000000000Z,85.068,85.704,84.758,85.454,85.454,18839
2011-06-14T21:00:00.000000000Z,85.998,86.366,85.736,86.282,86.282,17723
2011-06-15T21:00:00.000000000Z,85.626,85.705,84.752,84.982,84.982,25522
2011-06-16T21:00:00.000000000Z,85.114,85.308,84.560,84.618,84.618,20829
2011-06-17T21:00:00.000000000Z,85.035,85.035,85.035,85.035,85.035,6
2011-06-18T21:00:00.000000000Z,85.035,85.035,85.035,85.035,85.035,7
2011-06-19T21:00:00.000000000Z,84.982,85.074,84.090,84.370,84.370,20859
2011-06-20T21:00:00.000000000Z,84.951,85.162,84.430,84.724,84.724,17977
2011-06-21T21:00:00.000000000Z,85.067,85.209,84.808,85.072,85.072,16955
2011-06-22T21:00:00.000000000Z,84.888,85.096,84.758,84.806,84.806,20696
2011-06-23T21:00:00.000000000Z,84.730,85.040,84.632,85.000,85.000,18237
2011-06-24T21:00:00.000000000Z,84.377,84.377,84.377,84.377,84.377,6
2011-06-25T21:00:00.000000000Z,84.377,84.377,84.377,84.377,84.377,6
2011-06-26T21:00:00.000000000Z,84.188,84.458,84.062,84.330,84.330,22072
2011-06-27T21:00:00.000000000Z,84.477,84.666,84.304,84.518,84.518,17254
2011-06-28T21:00:00.000000000Z,85.508,85.950,85.236,85.886,85.886,14787
2011-06-29T21:00:00.000000000Z,86.294,86.504,86.170,86.272,86.272,20797
2011-06-30T21:00:00.000000000Z,86.382,86.600,86.264,86.514,86.514,15919
2011-07-01T21:00:00.000000000Z,87.050,87.050,87.050,87.050,87.050,6
2011-07-02T21:00:00.000000000Z,87.050,87.050,87.050,87.050,87.050,6
2011-07-03T21:00:00.000000000Z,87.089,87.217,86.463,86.672,86.672,16661
2011-07-04T21:00:00.000000000Z,86.731,86.894,86.450,86.850,86.850,18496
2011-07-05T21:00:00.000000000Z,86.691,86.834,86.456,86.570,86.570,16003
2011-07-06T21:00:00.000000000Z,86.585,87.032,86.500,86.948,86.948,15396
2011-07-07T21:00:00.000000000Z,87.556,87.726,87.438,87.686,87.686,10844
2011-07-08T21:00:00.000000000Z,86.732,86.732,86.732,86.732,86.732,6
