datetime,open,high,low,close,adj close,volume
2011-04-30T21:00:00.000000000Z,81.217,81.217,81.217,81.217,81.217,6
2011-05-01T09:00:00.000000000Z,81.217,81.217,81.217,81.217,81.217,7
2011-05-01T21:00:00.000000000Z,81.216,81.690,81.003,81.514,81.514,9479
2011-05-02T09:00:00.000000000Z,81.511,81.593,81.046,81.229,81.229,5816
2011-05-02T21:00:00.000000000Z,81.226,81.275,80.905,81.012,81.012,5430
2011-05-03T09:00:00.000000000Z,81.010,81.068,80.697,80.935,80.935,6950
2011-05-03T21:00:00.000000000Z,80.940,81.110,80.816,81.064,81.064,4415
2011-05-04T09:00:00.000000000Z,81.062,81.192,80.437,80.615,80.615,9804
2011-05-04T21:00:00.000000000Z,80.622,80.694,80.237,80.260,80.260,5224
2011-05-05T09:00:00.000000000Z,80.263,80.352,79.569,80.081,80.081,18338
2011-05-05T21:00:00.000000000Z,80.079,80.646,80.065,80.305,80.305,14816
2011-05-06T09:00:00.000000000Z,80.303,80.943,80.210,80.629,80.629,18039
2011-05-06T21:00:00.000000000Z,80.629,80.629,80.629,80.629,80.629,6
2011-05-07T09:00:00.000000000Z,80.629,80.629,80.629,80.629,80.629,6
2011-05-07T21:00:00.000000000Z,80.629,80.629,80.629,80.629,80.629,6
2011-05-08T09:00:00.000000000Z,80.629,80.796,80.525,80.626,80.626,506
2011-05-08T21:00:00.000000000Z,80.629,80.844,80.512,80.618,80.618,9963
2011-05-09T09:00:00.000000000Z,80.615,80.834,80.187,80.362,80.362,9363
2011-05-09T21:00:00.000000000Z,80.364,80.878,80.160,80.700,80.700,9480
2011-05-10T09:00:00.000000000Z,80.698,80.908,80.534,80.880,80.880,8146
2011-05-10T21:00:00.000000000Z,80.882,81.100,80.618,80.658,80.658,9237
2011-05-11T09:00:00.000000000Z,80.654,81.326,80.634,81.050,81.050,11529
2011-05-11T21:00:00.000000000Z,81.053,81.342,80.912,81.044,81.044,9950
2011-05-12T09:00:00.000000000Z,81.040,81.175,80.712,80.942,80.942,10856
2011-05-12T21:00:00.000000000Z,80.946,81.092,80.340,80.502,80.502,9248
2011-05-13T09:00:00.000000000Z,80.498,80.952,80.444,80.793,80.793,10254
2011-05-13T21:00:00.000000000Z,80.793,80.793,80.793,80.793,80.793,6
2011-05-14T09:00:00.000000000Z,80.793,80.793,80.793,80.793,80.793,6
2011-05-14T21:00:00.000000000Z,80.793,80.793,80.793,80.793,80.793,6
2011-05-15T09:00:00.000000000Z,80.793,80.911,80.751,80.878,80.878,326
2011-05-15T21:00:00.000000000Z,80.875,81.068,80.636,80.840,80.840,9239
2011-05-16T09:00:00.000000000Z,80.838,80.948,80.704,80.791,80.791,8467
2011-05-16T21:00:00.000000000Z,80.788,81.736,80.740,81.722,81.722,9594
2011-05-17T09:00:00.000000000Z,81.718,81.777,81.260,81.416,81.416,10368
2011-05-17T21:00:00.000000000Z,81.414,81.550,80.944,81.096,81.096,10483
2011-05-18T09:00:00.000000000Z,81.094,81.725,80.976,81.683,81.683,10038
2011-05-18T21:00:00.000000000Z,81.672,81.940,81.514,81.910,81.910,8379
2011-05-19T09:00:00.000000000Z,81.912,82.232,81.475,81.607,81.607,11003
2011-05-19T21:00:00.000000000Z,81.611,81.862,81.522,81.522,81.522,6862
2011-05-20T09:00:00.000000000Z,81.524,81.843,81.484,81.699,81.699,9208
2011-05-20T21:00:00.000000000Z,81.699,81.699,81.699,81.699,81.699,6
2011-05-21T09:00:00.000000000Z,81.699,81.699,81.699,81.699,81.699,6
2011-05-21T21:00:00.000000000Z,81.699,81.699,81.699,81.699,81.699,6
2011-05-22T09:00:00.000000000Z,81.699,81.833,81.699,81.793,81.793,467
2011-05-22T21:00:00.000000000Z,81.789,82.030,81.326,81.543,81.543,10360
2011-05-23T09:00:00.000000000Z,81.541,82.043,81.475,82.005,82.005,9283
2011-05-23T21:00:00.000000000Z,82.008,82.084,81.618,81.862,81.862,8495
2011-05-24T09:00:00.000000000Z,81.860,82.211,81.738,81.955,81.955,9358
2011-05-24T21:00:00.000000000Z,81.948,82.174,81.796,82.086,82.086,9319
2011-05-25T09:00:00.000000000Z,82.088,82.166,81.868,81.969,81.969,9336
2011-05-25T21:00:00.000000000Z,81.971,82.086,81.674,81.750,81.750,7903
2011-05-26T09:00:00.000000000Z,81.752,81.918,81.155,81.291,81.291,10204
2011-05-26T21:00:00.000000000Z,81.293,81.431,80.838,81.021,81.021,10282
2011-05-27T09:00:00.000000000Z,81.023,81.292,80.704,80.796,80.796,10209
2011-05-27T21:00:00.000000000Z,80.796,80.796,80.796,80.796,80.796,6
2011-05-28T09:00:00.000000000Z,80.796,80.796,80.796,80.796,80.796,7
2011-05-28T21:00:00.000000000Z,80.796,80.796,80.796,80.796,80.796,6
2011-05-29T09:00:00.000000000Z,80.796,80.941,80.727,80.742,80.742,188
2011-05-29T21:00:00.000000000Z,80.746,80.956,80.727,80.824,80.824,9291
2011-05-30T09:00:00.000000000Z,80.822,80.982,80.786,80.939,80.939,4106
2011-05-30T21:00:00.000000000Z,80.937,81.774,80.716,81.504,81.504,12960
2011-05-31T09:00:00.000000000Z,81.502,81.656,81.174,81.526,81.526,8610
2011-05-31T21:00:00.000000000Z,81.522,81.573,81.160,81.350,81.350,7607
2011-06-01T09:00:00.000000000Z,81.352,81.402,80.672,80.950,80.950,12644
2011-06-01T21:00:00.000000000Z,80.953,81.325,80.814,80.934,80.934,9316
2011-06-02T09:00:00.000000000Z,80.936,81.027,80.574,80.892,80.892,8850
2011-06-02T21:00:00.000000000Z,80.894,81.013,80.564,80.570,80.570,6302
2011-06-03T09:00:00.000000000Z,80.572,80.696,80.056,80.282,80.282,11302
2011-06-03T21:00:00.000000000Z,80.282,80.282,80.282,80.282,80.282,6
2011-06-04T09:00:00.000000000Z,80.282,80.282,80.282,80.282,80.282,6
2011-06-04T21:00:00.000000000Z,80.282,80.282,80.282,80.282,80.282,6
2011-06-05T09:00:00.000000000Z,80.282,80.282,80.190,80.234,80.234,333
2011-06-05T21:00:00.000000000Z,80.236,80.394,80.134,80.146,80.146,7808
2011-06-06T09:00:00.000000000Z,80.144,80.260,79.980,80.102,80.102,8390
2011-06-06T21:00:00.000000000Z,80.100,80.333,80.083,80.188,80.188,6580
2011-06-07T09:00:00.000000000Z,80.185,80.282,79.988,80.094,80.094,7255
2011-06-07T21:00:00.000000000Z,80.091,80.278,79.755,79.858,79.858,10072
2011-06-08T09:00:00.000000000Z,79.856,79.977,79.700,79.891,79.891,9287
2011-06-08T21:00:00.000000000Z,79.894,80.302,79.840,80.002,80.002,8934
2011-06-09T09:00:00.000000000Z,80.004,80.423,79.936,80.365,80.365,10887
2011-06-09T21:00:00.000000000Z,80.356,80.469,79.968,80.060,80.060,8993
2011-06-10T09:00:00.000000000Z,80.058,80.393,80.024,80.325,80.325,8917
2011-06-10T21:00:00.000000000Z,80.325,80.325,80.325,80.325,80.325,7
2011-06-11T09:00:00.000000000Z,80.325,80.325,80.325,80.325,80.325,6
2011-06-11T21:00:00.000000000Z,80.325,80.325,80.325,80.325,80.325,6
2011-06-12T09:00:00.000000000Z,80.325,80.409,80.241,80.303,80.303,501
2011-06-12T21:00:00.000000000Z,80.301,80.691,80.267,80.384,80.384,6748
2011-06-13T09:00:00.000000000Z,80.386,80.470,80.118,80.241,80.241,6807
2011-06-13T21:00:00.000000000Z,80.238,80.456,80.090,80.246,80.246,7175
