datetime,open,high,low,close,adj close,volume
2011-05-10T21:00:00.000000000Z,1.44095,1.44232,1.43674,1.44101,1.44101,19318
2011-05-11T21:00:00.000000000Z,1.41921,1.42346,1.41788,1.41963,1.41963,24680
2011-05-12T21:00:00.000000000Z,1.42457,1.43399,1.41846,1.43228,1.43228,20248
2011-05-13T21:00:00.000000000Z,1.41184,1.41184,1.41184,1.41184,1.41184,6
2011-05-14T21:00:00.000000000Z,1.41184,1.41184,1.41184,1.41184,1.41184,6
2011-05-15T21:00:00.000000000Z,1.40911,1.41484,1.40484,1.41420,1.41420,21475
2011-05-16T21:00:00.000000000Z,1.41563,1.41933,1.41292,1.41783,1.41783,20197
2011-05-17T21:00:00.000000000Z,1.42369,1.42869,1.42332,1.42587,1.42587,21466
2011-05-18T21:00:00.000000000Z,1.42489,1.43065,1.42068,1.42204,1.42204,20916
2011-05-19T21:00:00.000000000Z,1.43095,1.43456,1.42941,1.43192,1.43192,15292
2011-05-20T21:00:00.000000000Z,1.41561,1.41561,1.41561,1.41561,1.41561,6
2011-05-21T21:00:00.000000000Z,1.41561,1.41561,1.41561,1.41561,1.41561,6
2011-05-22T21:00:00.000000000Z,1.41256,1.41468,1.39830,1.39910,1.39910,27704
2011-05-23T21:00:00.000000000Z,1.40476,1.41036,1.40021,1.40850,1.40850,22933
2011-05-24T21:00:00.000000000Z,1.41001,1.41076,1.40138,1.40637,1.40637,23751
2011-05-25T21:00:00.000000000Z,1.40878,1.41964,1.40684,1.41558,1.41558,25549
2011-05-26T21:00:00.000000000Z,1.41440,1.42786,1.41252,1.42088,1.42088,25289
2011-05-27T21:00:00.000000000Z,1.43175,1.43175,1.43175,1.43175,1.43175,6
2011-05-28T21:00:00.000000000Z,1.43175,1.43175,1.43175,1.43175,1.43175,6
2011-05-29T21:00:00.000000000Z,1.43228,1.43228,1.42573,1.42848,1.42848,18062
2011-05-30T21:00:00.000000000Z,1.42830,1.44183,1.42791,1.44050,1.44050,25194
2011-05-31T21:00:00.000000000Z,1.43967,1.44490,1.43871,1.44061,1.44061,20558
2011-06-01T21:00:00.000000000Z,1.43281,1.44132,1.43073,1.44085,1.44085,20077
2011-06-02T21:00:00.000000000Z,1.44915,1.45179,1.44603,1.44899,1.44899,17242
2011-06-03T21:00:00.000000000Z,1.46353,1.46353,1.46353,1.46353,1.46353,6
2011-06-04T21:00:00.000000000Z,1.46353,1.46353,1.46353,1.46353,1.46353,6
